company_id,industry,performance
/c/SBVwRBkIABob,Information Technology,
/c/SBVwRBkbFwcFCAYT,Information Technology,
/c/SBVwRQ==,Information Technology,7.406251874999999
/c/SBVwRVFaOh8OFBY=,Other,
/c/SBVwRVEfDTcCDAs4GzoQCAo=,Information Technology,2.0984373672501175
/c/SBVwRVETOg8KAwoKHzwH,Healthcare and Biotech,6.577848684803639
/c/SBVwRVETOgECAAAVBTYCBA==,Healthcare and Biotech,0.0
/c/SBVwRVETBwEA,Healthcare and Biotech,0.0
/c/SBVwRVA0VFkwHhwUAjoZEg==,Information Technology,
/c/SBVwRVA0DQ0OAREP,Healthcare and Biotech,2.380410871232904
/c/SBVwRVNbEgkbCBcGAzsdFQ==,Information Technology,1.0
/c/SBVwRVNaOgoGAg==,Healthcare and Biotech,0.0
/c/SBVwRVM0AAYbHwAXBDoaBB4XAQEK,Information Technology,0.0
/c/SBVwRVMYCwkfMggIFDYYBDQEDBkIFxMfLB0PDDoJAQk6AhgrERMfBAEBAAAJAg==,Information Technology,
/c/SBVwRVU=,Information Technology,
/c/SBVwRVVbOhgdAgoB,Information Technology,1.6159227510099516
/c/SBVwRVUFABowAgsEGTMbBhI=,Healthcare and Biotech,2.017868129045245
/c/SBVwRVRaUjcJGAsD,Other,
/c/SBVwRVlbVQwKAxEOBSs=,Information Technology,
/c/SBVwRVlcVA==,Information Technology,
/c/SBVwRVhbXTcNHwQJEiw=,Other,
/c/SBVwRVgHBAoc,Healthcare and Biotech,
/c/SBVwRQUEBls=,Other,
/c/SBVwRQoEFgUAHg==,Information Technology,1.0
/c/SBVwRQwM,Healthcare and Biotech,
/c/SBVwRRIG,Information Technology,0.0
/c/SBVwRRIfAQENHg==,Other,1.3225163717630928
/c/SBVwRRUEVDcbCAYP,Information Technology,
/c/SBVwRRQbDQ0OAREP,Healthcare and Biotech,5.238094811791382
/c/SBVwRlIKCwwCCA==,Healthcare and Biotech,2.548417935647598
/c/SBVwRlUDCh0dCwwTGDoHEg==,Information Technology,
/c/SBVwRlUGOhwKDg0JGTMbBgIAGw==,Other,2.5308590543906924
/c/SBVwRlRbCgM=,Information Technology,0.5909085537194966
/c/SBVwRlkGFg0M,Information Technology,0.5103391913297862
/c/SBVwRgQSABswGwwUHzAa,Healthcare and Biotech,
/c/SBVwRgYOEQAKHw==,Information Technology,1.0
/c/SBVwRgweCwwAHg==,Information Technology,
/c/SBVwRg8CAgAb,Other,
/c/SBVwRhYCFw0=,Information Technology,5.009449326249789
/c/SBVwR1Bb,Healthcare and Biotech,
/c/SBVwR1IKBhoAHhY=,Information Technology,3.8276924976020226
/c/SBVwR1QeFQ==,Information Technology,0.0
/c/SBVwR1dbOgsOHQwTFzMrEQoXHAEIFxQ=,Other,
/c/SBVwR1dbFhwAHwwCBQ==,Other,
/c/SBVwRz4dOgoGAhYEHzoaAg4W,Healthcare and Biotech,1.3992537313432836
/c/SBVwRwAcBBoK,Healthcare and Biotech,1.5238095238095237
/c/SBVwRwIECA==,Information Technology,
/c/SBVwRwU0CQEJCBUVHzEAEg==,Healthcare and Biotech,1.2054122242430667
