person_id,company_id,performance,education_tier,education_level_score,industry,is_founder_of_target,label_company_id,label_max_founder_multiple,label_company_founded_year,label_company_industry,company_founded,label
SAZwAA4FHAkwCwkOFTQdDwwAGg==,SBVwFg0CFhgOFA==,0.2035108448599565,4.0,3.0,Information Technology,True,SBVwFg0CFhgOFA==,0.1442897044373598,2014.0,Information Technology,2014.0,0
SAZwAA4FHDcFDAgIAyw=,SBVwGgQTCAc=,10.0,4.0,3.0,Information Technology,True,SBVwGgQTCAc=,22.33687357274614,2010.0,Information Technology,2010.0,3
SAZwAA4FHDcJCBcJFzEQBBg6WF9c,SBVwGgQfFgsOHQA=,10.0,5.0,1.0,Information Technology,True,SBVwGgQfFgsOHQA=,64.20544718839136,1993.0,Information Technology,1993.0,4
SAZwAA4FHDcJDBAUAjYaCA==,SBVwGAgMDRwCBAsCBAAHGBgRDQIe,0.7549096158958666,4.0,3.0,Information Technology,True,SBVwGAgMDRwCBAsCBAAHGBgRDQIe,0.7451548383725297,2012.0,Information Technology,2012.0,0
SAZwAA4FHDcMFwQVGDYf,SBVwHQ0HEAUGAwQ=,10.0,5.0,4.0,Healthcare and Biotech,True,SBVwHQ0HEAUGAwQ=,35.59931142398142,1998.0,Healthcare and Biotech,1998.0,3
SAZwAA4FHDcVBQQI,SBVwFQYEFwkwXVRT,2.3800000000000003,5.0,3.0,Information Technology,True,SBVwFQYEFwkwXVRT,24.905879686261795,2014.0,Information Technology,2014.0,3
SAZwAA4FHDcYDAsA,SBVwFQYEFwkwXVRT,2.3800000000000003,4.0,5.0,Information Technology,True,SBVwFQYEFwkwXVRT,24.905879686261795,2014.0,Information Technology,2014.0,3
SAZwAA4FHDcfCAQVFTo=,SBVwBA0KHA0dFQ==,0.8727439719360541,1.0,5.0,Information Technology,True,SBVwBA0KHA0dFQ==,0.9095404649100418,2004.0,Information Technology,2004.0,0
SAZwAA4GABowGwAVGTEV,SBVwBAAFFgEKGwA=,0.0,5.0,3.0,Information Technology,True,SBVwBAAFFgEKGwA=,0.0,2012.0,Information Technology,2012.0,0
SAZwAA4GBBIwCBcNFykRAg==,SBVwEA4IERoGAwQ=,1.0,1.0,1.0,Information Technology,True,SBVwEA4IERoGAwQ=,0.0,2013.0,Information Technology,2013.0,0
