repo,commit,creation_date,stars,lines_of_code,primary_language,secondary_language
dmlgzs/StarResonanceDamageCounter,d33f19f89352d5e4651387b7abf655c3fdab6250,2025-08-02,236,253564.0,JavaScript,HTML
ZyperWave/ZyperWinOptimize,d20e78bbd906fa179e4cc9f5107b502da5967aa9,2025-08-05,4246,21686.0,MSBuild,C#
wenge-research/x-agent,78935e129fafbed08af103041304e8e1f53b39e4,2025-08-04,920,688464.0,Vue,Java
ccfos/huatuo,bb5e6fc1ca32ccbcbeac1a68ef16df653469e9da,2025-08-04,640,1859496.0,Go,C Header
githubnext/gh-aw,1cc5245d14953177fc9d5a845668728581ac41cc,2025-08-12,182,103948.0,Go,JavaScript
tangyuanbo1/LifeTrace_app,83d6c7fe20587d3b53b167bf243e5cda628211ed,2025-08-22,867,167712.0,HTML,TypeScript
mzazon/awesome-cloud-projects,e1784e0b35f1dfb8f51ba275dd5f356ac5052b25,2025-08-24,231,2981402.0,Shell,Terraform
openai/gpt-5-coding-examples,b5f34ee9c27b7af9b2fd0dbe7314586dfed8e5cc,2025-08-07,1711,72197.0,HTML,CSS
clduab11/gemini-flow,8e22487dadac8c32bedbba4939933310d7c855c6,2025-08-01,133,475795.0,JavaScript,TypeScript
cokepoppy/my-quant,516d6a2f0012f2f25f9520707aec71c90ca8423e,2025-08-20,124,79229.0,Vue,TypeScript
psyb0t/piraterf,0ad22bdbd85e9b9d3cc431068b25ad3e1235e18b,2025-09-17,132,720638.0,Go,License
jurmy24/mechaverse,47fc4c0c979e76ea0556e10fbc36ec8eabd42b2d,2025-08-05,220,316135.0,JavaScript,HTML
gepa-ai/gepa,abc6922e4b7a466597279c3de6692b4849a09362,2025-08-05,1263,34360.0,Jupyter,Python
deweloperuch/rejestr-cen-nieruchomosci,283478929d58aab8a5370b94667443aa245cfcfc,2025-09-26,124,1038222.0,Game Maker Language,License
looplj/axonhub,c3ccfbd2e57a51dc2b42b95696c098a4f62e83df,2025-09-09,165,185609.0,Go,TypeScript
Foleyzhao/UBA,7cf01815c68f6c72b3f6e93729f8b82fa0ac89ee,2025-08-21,119,106173.0,Vue,Java
Deng-m1/MaliangAINovalWriter,2f92fc1dd770632202019813081ee9b33a2e7431,2025-09-09,197,490981.0,JavaScript,Dart
ludo-technologies/pyscn,c1f9bd36acabb6bac39fb6db836d1b19a615c328,2025-08-06,833,48618.0,Go,Python
