person_id,order,company_id,title,job_type,start_date,end_date,is_c_suite,is_employee,is_executive,is_founder,is_on_board
/p/SAZwFQMZBAUwCQQQBTAa,1,,Intern,employee,2010-02-01,2011-01-01,False,,False,False,False
/p/SAZwFQMZBAUwCQQQBTAa,2,,"Product Design, Co-founder",founder,2011-04-01,2012-01-01,False,,False,False,False
/p/SAZwFQMZBAUwCQQQBTAa,3,/c/SBVwBxc0BAYICAk=,Investor,investor,2012-01-01,2018-01-01,False,False,False,False,False
/p/SAZwFQMZBAUwCQQQBTAa,4,/c/SB9wBxc0BAYICAk=,Principal,employee,2012-10-01,,False,True,False,False,False
/p/SAZwFQMZBAUwCQQQBTAa,5,,Independent,employee,2018-01-01,2021-01-01,False,True,False,False,False
/p/SAZwFQMZBAUwCQQQBTAa,6,,Independent,,2018-01-01,2021-01-01,False,,False,False,False
/p/SAZwFQMZBAUwCQQQBTAa,7,/c/SBVwRBkYFQQGGRY=,Founder,founder,2021-09-01,,False,True,False,True,False
/p/SAZwFQMZBAUwCQQQBTAa,8,,Founder,founder,2021-09-01,,False,,False,True,
/p/SAZwFQMZBAUwCQQQBTAa,9,/c/SBVwRBkYFQQGGRY=,Co-Founder,founder,,,False,True,False,True,False
/p/SAZwFQUOCQ0wAgkOAD4=,01,,"Financial Analyst, Senior Financial Analyst, Commercial Lending Officer",employee,1988-01-01,1991-01-01,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,02,/c/SBVwGwYCCR4W,Marketing Associate Intern,employee,1992-01-01,1992-01-01,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,03,/c/SB9wFQ0fBAUGHw==,Partner,employee,1997-01-01,2007-01-01,False,True,False,False,False
/p/SAZwFQUOCQ0wAgkOAD4=,04,/c/SBVwFREKHTcfDBcTGDoGEg==,Co-Head of US Healthcare,employee,2005-01-01,2007-01-01,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,05,/c/SBVwGggfFwEMMgcOGQ==,Board Member,board_member,2006-04-01,2013-07-01,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,06,,Partner,executive,2007-01-01,,False,,True,False,
/p/SAZwFQUOCQ0wAgkOAD4=,07,/c/SB9wBRQKDg0dMhUGBCsaBBkW,Partner & Member of Investment Team,employee,2007-05-01,,False,True,False,False,False
/p/SAZwFQUOCQ0wAgkOAD4=,08,/c/SBVwEQoZOhwHCBcGBjoBFQIGGw==,Board Member,board_member,2007-08-22,2012-06-27,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,09,/c/SBVwBwQGFRoOCDoLFz0bEwoRBx0EABQ=,Board Member,board_member,2008-09-24,2013-12-30,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,10,/c/SBVwGg4dBBsAAA==,Board Member,board_member,2011-06-27,,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,11,/c/SBVwAAQHBDcNBAo=,Board Member,board_member,2012-01-01,,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,12,/c/SBVwBBMOBgEcBAoJKTsREwYEHAABCgAP,Board Member,board_member,2012-11-12,2014-07-08,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,13,/c/SBVwFw4HChoKHgYOEzEXBA==,Board Member,board_member,2013-05-01,,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,14,/c/SBVwRVJaUDcMDBUOAj4Y,Founding Partner,founder,2014-01-01,,False,,False,True,
/p/SAZwFQUOCQ0wAgkOAD4=,15,/c/SB9wRVJaUDcMDBUOAj4Y,"Co-Founder, Partner & Member of Investment Team",founder,2014-01-01,,False,True,False,True,False
/p/SAZwFQUOCQ0wAgkOAD4=,16,/c/SBVwEQ8IChoKMgECBDIVFQQJBwgU,Board Member,board_member,2015-05-27,2021-09-20,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,17,/c/SBVwGw8AChswHhAVETYXAAc=,Board Member,board_member,2015-10-06,,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,18,/c/SBVwFw4HChoKHgYOEzEXBA==,Board Of Director,board_member,,,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,19,/c/SBVwGw8AChswHhAVETYXAAc=,Board Member,board_member,,,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,20,/c/SBVwGg4dBBsAAA==,Director of the Board,board_member,,,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,21,/c/SBVwEQ8IChoKMgECBDIVFQQJBwgU,Board Member,board_member,,,False,,False,False,
/p/SAZwFQUOCQ0wAgkOAD4=,22,/c/SBVwAAQKFxsMBAAJFTo=,Board Member,board_member,,,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,23,/c/SBVwGQQPAAQ=,Board Member,board_member,,2002-11-14,False,False,False,False,True
/p/SAZwFQUOCQ0wAgkOAD4=,24,/c/SBVwBxEZCh0bMhUPFy0ZAAgAHRsEBgYaLA==,Board Member,board_member,,,False,False,False,False,True
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,01,,International Sales Consultant,employee,2010-09-01,2011-09-01,False,True,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,02,,President & Associate,employee,2012-03-01,2015-08-01,True,True,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,03,,Growth Analyst,employee,2015-03-01,2015-09-01,False,True,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,04,,Material Planner and Project Management,,2016-01-01,2016-10-01,False,,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,05,,Material Planner and Project Management,employee,2016-01-01,2016-10-01,False,True,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,06,/c/SBVwFhMECgMcMgcVGSscBBkW,Demand Planning Specialist,employee,2016-11-01,2017-10-01,False,True,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,07,/c/SBVwFhMECgMcMgcVGSscBBkW,Sr Global Demand Planner,employee,2017-11-01,2020-02-01,False,True,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,08,/c/SBVwRVFbVQ4OHwgGFTYR,Co-Founder & Chief Marketing Officer,founder,2019-01-01,,True,True,False,True,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,09,/c/SBVwRVFbVQ4OHwgGFTYR,Co-founder & CMO,founder,2020-02-01,2024-01-01,True,True,False,True,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,10,,Working on something new,,2024-02-01,,False,,False,False,False
/p/SAZwFQ0JABobAjoKFy0XCQ4RHAY=,11,,Working on something new,operator,2024-08-01,,False,True,False,False,False
/p/SAZwFQ0OHTcDAhICBA==,1,/c/SBVwRFAf,"Managing Director, CEO & Founder",founder,2018-04-01,,True,,False,True,
