repo,commit,creation_date,stars,lines_of_code,primary_language,secondary_language
JjyKsi/bmw-cardata-ha,2f9ce931ba1dad20767cfbf74d232d00e2f2babf,2025-09-27,141,304811.0,Python,License
TencentARC/GenCompositor,e470eb1ed4543497523d9752181413c342fca84a,2025-09-01,122,239889.0,Python,Cuda
iflytek/astron-rpa,480b24378e750fd4cab0b834b06c09eb78145fb8,2025-09-20T08:51:40Z,238,234164.0,Python,Java
OpenGVLab/ScaleCUA,229ea8df7a8f34557991ac55d3b59f31f2b23c6e,2025-09-09,648,223148.0,Python,JavaScript
csbhr/Vivid-VR,38c736af2f8ee98243abf1d52e4796de35ef9c73,2025-08-05,190,208745.0,Python,Makefile
MaliosDark/wifi-3d-fusion,0c0f99e6af9fa1a22d850c45b8f23aa75f34f328,2025-08-19,843,205177.0,Python,C++
RosettaCommons/RFdiffusion2,b22d76138973aaeb43b7bcd1e34157253cf08f43,2025-08-18,301,160976.0,Python,C++ Header
EvolvingLMMs-Lab/LLaVA-OneVision-1.5,b4527f914255cf7de8540ca154a50d358557351b,2025-09-16,531,158732.0,Python,Shell
iflytek/astron-rpa,1acf41b3e2e68c2baaf09f2badff2cedbac01719,2025-09-20,236,144304.0,Python,TypeScript
scaleapi/SWE-bench_Pro-os,21ced48139be967dd3729701bb3b8a9d07cde01f,2025-09-05,193,137335.0,Python,Shell
vinhnx/vtcode,90f5e793d007f67d4f876f551d5e9b6ce9ba8f5b,2025-08-29,104,78939.0,Rust,Shell
unhappychoice/gittype,0267c93e55097b29c931c1a0e35aec5b23243a0b,2025-08-28,426,54670.0,Rust,Shell
arsfeld/reel,1978bab8362b5157738127b4b5e76ce7c05146d0,2025-08-19,164,52665.0,Rust,CSS
DavidLiedle/DriftDB,e2744dc61b51322c1052310de3e07b8a6428f1d8,2025-09-14,131,87944.0,Rust,JSONL
apache/sedona-db,f577f83a4390456fe8a52b46efa06b3ab9037587,2025-08-25,283,106882.0,Rust,C
Michael-A-Kuykendall/shimmy,37f67acbbf322c4002c0962c8bfe20f5e223ba52,2025-08-28,3025,24964.0,Rust,C Header
bahdotsh/blogr,36e741489b051b39bcc637ece13e10e39fb30473,2025-09-20,237,22610.0,Rust,CSS
murat-cileli/clyp,e036f0e6944cd35e46a95fa77b851e592d4f3598,2025-08-14,270,369341.0,Go,C
looplj/axonhub,c3ccfbd2e57a51dc2b42b95696c098a4f62e83df,2025-09-09,165,185609.0,Go,TypeScript
githubnext/gh-aw,1cc5245d14953177fc9d5a845668728581ac41cc,2025-08-12,182,103948.0,Go,JavaScript
Dreamsoft-DreamV/dreamv,baf9daa5fad0902aa3b95ca055b29fb337cf52c3,2025-08-11,129,325935.0,JavaScript,Vue
jurmy24/mechaverse,47fc4c0c979e76ea0556e10fbc36ec8eabd42b2d,2025-08-05,220,316135.0,JavaScript,HTML
mafik/keyer,0f8eb0efaae77bea840d6cc199159995b61e6a1c,2025-10-09,347,374918.0,JavaScript,C++
Kelsidavis/System7,a1234baccd1a631f0618f481ff86c3241555b2e6,2025-09-18,210,155432.0,C,C Header
jaapp/smart-grind-by-weight,a61d548895f0a22ee5e52cd23a17eacdbfaf953e,2025-09-14,118,121504.0,C,C++
Lobotomy-Software/SlaveDriver-Engine,a8986591557b6e680550d3c23970284d3b38ff8f,2025-08-16,212,115118.0,C,C Header
FuzzingLabs/fuzzforge_ai,4ad44332eef81a1dced3154178e4707059ff481b,2025-09-15T10:04:25Z,281,55886.0,JSON,Python
oiy-ai/learnify,62d8494dbb01a8515a8e5463939d70f56ca7e2d0,2025-08-11,202,688504.0,TypeScript,Rust
